Number of Qubits,Depth,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
5,12,23,1.2964434580676207,1.4041995260682159,38.43069638653572,35.91302489871451,35.225111361855404,31.641806799389773,6.0,6.0,6.0,8
5,12,24,1.2833380194394939,1.4156595973406052,37.439663474307515,35.013652435597706,34.3167425843192,30.849398758048437,8.0,8.0,8.0,12
5,12,25,1.3520873965547664,1.4930719664834327,35.13624360734968,33.9184946266593,31.442945273622577,29.09570867193118,7.0,7.0,7.0,10
5,12,26,1.227186753928324,1.3424368917741412,36.45095102346789,33.65013854340602,33.410500713618134,29.648050688185418,9.0,7.0,7.0,10
5,12,27,1.3545271299396375,1.4821749769848582,38.91062685814412,35.70150879367361,35.665009825789475,31.467108866179228,5.0,5.0,5.0,8
5,12,28,1.2487055534722755,1.363910750036764,37.22258589202511,35.623985691857946,34.11777189866857,31.387143685753486,6.0,6.0,6.0,8
5,12,29,1.3333808174138266,1.4618740558396603,37.593731070037656,34.42398409139147,34.45795907860966,30.329861017195043,7.0,6.0,6.0,8
5,12,30,1.3579164832840642,1.506780064437846,34.29593640258871,31.870301246539068,31.671247392186515,28.19567434059581,6.0,6.0,6.0,8
5,12,31,1.3206076555624477,1.4485762842056185,35.10955413738846,32.5707911597656,33.1328282071326,29.52947671146672,7.0,6.0,6.0,10
5,12,32,1.5081079106445703,1.6615452916354392,35.3782239544852,32.0226922126778,32.670706815111345,28.343306072824834,5.0,5.0,5.0,8
5,12,33,1.461329167937372,1.600622964754614,31.631041266714707,28.780832427111772,28.46793714004324,24.733527867049176,7.0,7.0,7.0,6
5,12,34,1.2536388096093083,1.4030999253476928,37.50320245214189,34.43311000278708,34.37498164268867,30.34914931244661,6.0,6.0,6.0,10
5,12,35,1.2592559404964676,1.3756615322379708,38.03791698642902,36.111153280180126,34.86509451568009,31.816371319796836,6.0,6.0,6.0,8
5,12,36,1.2652741553631164,1.3918599932556157,38.88398084349427,35.775255071921045,35.640586411132865,31.5204222528505,6.0,6.0,6.0,8
5,12,37,1.2857102055053977,1.3941957259613762,37.68736784115311,35.88014371109767,34.54378541016847,31.612836246537693,7.0,6.0,6.0,8
5,12,38,1.2860332583220981,1.4218265360791065,37.599397746252016,34.83316584527811,34.4631530854706,30.690377850261363,6.0,7.0,6.0,10
5,12,39,1.3282466321954065,1.4514255199782624,38.79422701103325,35.74524095738337,35.55831913416777,31.493977785526067,6.0,6.0,6.0,10
5,12,40,1.3924027431486594,1.5334581470027824,37.38525040002749,34.544544397946545,35.28039900870363,29.632741991363517,7.0,6.0,6.0,8
5,12,41,1.3035417513169247,1.4580315662969245,38.596962167492514,34.60517105631815,35.37750856514732,30.500802956397116,7.0,6.0,7.0,10
5,12,42,0.8069079722739847,0.8818623220489151,36.397051786403665,34.820082334458064,40.692881503962155,37.63887231579481,7.0,7.0,7.0,8
5,12,43,1.4326934346307008,1.5663028339753773,34.336215223346485,31.930451870747692,31.708443650131205,28.24888963336792,7.0,7.0,7.0,7
5,12,44,1.2764324153116986,1.4003776310980998,37.94071808881649,35.65477456134376,34.77600318206974,31.41427076465005,7.0,7.0,6.0,10
5,12,45,1.3298360533876181,1.454147226901214,37.6127717599605,35.14782064512708,34.47541154463299,30.96761003589321,6.0,6.0,6.0,8
5,12,46,1.3980933347127227,1.5475488426552655,32.13842633802617,29.709027268487986,30.64198086166183,25.53119530885686,7.0,7.0,6.0,8
5,12,47,1.0294521024484993,1.1221831782174025,38.60091256626874,36.5203242260963,37.10503599233961,33.807866645132606,6.0,6.0,6.0,9
5,12,48,1.3369183260663169,1.477972944917815,37.5807886687784,34.42311017076605,33.63053531438977,29.528574193360253,6.0,6.0,6.0,7
5,12,49,1.1783665831112822,1.3017114092133037,35.63025064045202,33.91706644706618,31.885025431086326,29.094483561623964,6.0,7.0,6.0,9
5,12,50,1.3500089789545493,1.4769465556001111,35.75945609258619,33.53854018440866,32.00064962830867,28.769779001938048,6.0,6.0,6.0,6
5,12,51,1.2488766730572234,1.366296739947352,37.10307580672479,33.97176451430709,34.008230400351,29.931424947569568,7.0,6.0,7.0,10
5,12,52,1.281372833850816,1.397110279888312,36.902561025510984,35.59631372635327,33.824440977778146,31.3627628103266,7.0,6.0,6.0,10
5,12,53,1.2407448850202576,1.3847235416892132,37.473613714709856,34.15222091302043,34.347860963931836,30.101575250014395,7.0,6.0,6.0,10
5,12,54,1.2757928821657583,1.392216652599124,38.38435094680148,35.28448808556045,35.182631692495974,31.088023305400746,6.0,6.0,6.0,7
5,12,55,1.2757717444091485,1.4018643425413566,37.367617444033506,35.108387537708396,34.25070606460444,30.932866798030062,6.0,6.0,6.0,10
5,12,56,1.2114068963980826,1.3390010979520746,36.60859753984822,34.553343289556366,33.554997603277705,30.443835230383755,9.0,6.0,7.0,8
5,12,57,1.254551787014468,1.3939326486503278,37.65982161682751,34.94148632163241,34.518536874214064,30.7972293379308,6.0,6.0,6.0,8
5,13,0,1.1876432195829618,1.2834623243160157,41.03836039489265,39.83920225419386,37.37773864766823,34.9799454696807,6.0,6.0,6.0,10
5,13,1,1.2280382360041446,1.3752951749828064,36.45563580342932,34.49193752934959,33.414794726252914,30.400999563184435,7.0,7.0,6.0,8
5,13,2,1.2479752266353275,1.3596317724511133,40.81528407618538,39.18023295445719,37.17456073658965,34.40135180146648,6.0,6.0,6.0,10
5,13,3,1.2370005520318939,1.3381131641977826,36.16393547092627,34.32531772030015,34.12784612881317,31.120173448147636,6.0,6.0,6.0,9
5,13,5,1.043181563065716,1.1396681324427673,41.806984086351555,39.85131102570438,38.077801105849005,34.99057731327136,7.0,7.0,6.0,7
5,13,7,1.3226162018809369,1.4377796854359115,36.458135444818545,33.864744728801455,33.41708586730888,29.837133269655165,8.0,7.0,7.0,10
5,13,9,1.1543924421843375,1.2571836980133952,39.7589353571886,38.784209557861786,36.21243832332739,34.05363206729016,8.0,7.0,6.0,10
5,13,11,1.200539169339073,1.3114879865629225,39.68766331413317,37.79799922252505,35.34682513914986,34.07323189857239,6.0,6.0,6.0,10
5,13,13,1.2116181171605491,1.2927836120739076,42.2848997957965,40.05917900866687,38.51308673401145,35.17309127684237,5.0,5.0,5.0,10
5,13,15,1.352744102501257,1.5079623168084013,35.876494560191524,32.56126612123097,32.10538575698958,27.943201935767924,6.0,6.0,6.0,10
5,13,17,1.2517213907476417,1.35918194873391,37.34251462968596,35.039531882770746,34.22769712867482,30.872200303444114,7.0,7.0,7.0,9
5,13,19,1.1774799944534162,1.2916496624611815,37.39583686386294,36.490457715781986,33.30566720687793,31.255321026443948,9.0,7.0,7.0,10
5,13,20,1.3543637221628835,1.4782564985305808,35.01362735158962,32.765752753276736,31.333217658382758,28.1068722836702,7.0,8.0,7.0,10
5,13,21,1.1481103195861675,1.2481056163184634,40.86314910814628,39.10753058082904,37.218156207699636,34.33751706278867,6.0,6.0,6.0,12
5,13,22,1.244221023321743,1.3644215327676459,40.69552492937626,38.43384737368981,38.07257117416256,34.646421007852126,5.0,5.0,5.0,10
5,13,23,1.296449920144453,1.432124124937824,35.72574260456359,34.23621728345989,32.74578345063851,30.164425744709206,7.0,7.0,7.0,10
5,13,24,1.211066827828686,1.297603900267447,41.81598141917768,39.11582674741799,38.08599587658704,34.344801331510645,7.0,6.0,6.0,10
5,13,25,1.1580452819789562,1.2531593551593747,39.072208373374515,38.82326252110243,35.58696738646952,34.08792167268614,6.0,6.0,6.0,12
5,13,26,1.13850901332513,1.235666527893031,41.214646389173154,39.09796443320845,37.53829993125892,34.32911771483014,7.0,7.0,6.0,8
5,13,27,1.1747827370664912,1.2797929020739554,41.40276955231571,39.25110093935856,37.70964250824916,34.463575895000766,7.0,6.0,7.0,8
5,13,28,1.234311609643423,1.3459118607955805,41.13704535050991,38.139144877770214,37.46762090524443,33.487247048080974,6.0,6.0,6.0,10
5,13,29,1.198734914743076,1.3025538434538122,41.913338692132314,38.78538328136735,38.17466888079412,34.0546626296985,7.0,7.0,6.0,10
5,13,30,1.2182624354448182,1.3254218743998554,41.98525997802755,39.10849479958518,38.2401747879875,34.33836367410622,7.0,6.0,6.0,12
5,13,31,1.1430658523833055,1.228089858162614,41.00688357220643,39.44669093515807,37.34906955756563,34.63530943885608,7.0,6.0,6.0,10
5,13,32,1.2486438478649533,1.3404483321049463,36.96331681597022,35.52842247831707,33.88012900027138,32.889635968800555,7.0,6.0,6.0,10
5,13,33,1.3332508189430772,1.4770329788671746,37.30289594062789,35.52667927038183,33.22289169712172,30.429811931875346,8.0,7.0,7.0,8
5,13,34,1.3028207096039377,1.4298831947126023,39.15196836709967,36.49178213258191,35.88622053307647,32.15173111318483,5.0,5.0,5.0,8
5,13,35,1.0658748052659337,1.1685888341801192,40.74865012537641,38.68610850039055,38.80086464938342,35.57961398780919,7.0,6.0,6.0,8
5,13,36,1.144843822727966,1.2659158842619627,39.73290839712552,36.29930465157136,36.18873296810193,31.88167927547513,6.0,8.0,6.0,10
5,13,37,1.159130136162183,1.2591869132233044,39.54442792372525,37.30583054589529,36.01706495292897,32.755573514507155,8.0,6.0,6.0,10
5,13,38,1.1925026802568237,1.302981833337841,39.701586227143096,38.164176942724744,35.359225233549324,32.68891860293043,6.0,6.0,6.0,9
5,13,39,1.2168020694918886,1.322574523912631,39.201444353056935,37.66790367738677,36.674788759988814,33.95595649326929,7.0,6.0,6.0,12
5,13,40,1.2159351338504987,1.3205218750749246,40.71188010311722,38.11936909573658,37.08038039791917,33.46988335257465,6.0,6.0,6.0,10
5,13,41,1.1452367898286426,1.2469161279499437,40.048242044600734,37.79120431372792,36.475938854222356,33.18174539974894,7.0,6.0,6.0,10
5,13,42,1.1712117410699898,1.2886923387199078,40.57372137637661,37.143226656317076,36.954545429603826,32.62289597224329,6.0,6.0,6.0,9
5,13,43,1.1584170768796076,1.2607962272446196,40.98101429512468,38.45702445541158,37.32550781999956,33.76635430080338,6.0,6.0,6.0,10
5,13,44,1.1406837514616308,1.2506837745262571,40.7249611325157,39.608497503704264,37.092294599495304,34.77738017883398,6.0,7.0,6.0,10
5,13,45,1.133614218362318,1.247178350991198,40.542625490653364,38.61091097171236,36.926223296887095,33.91196310645497,7.0,7.0,7.0,10
5,13,46,1.2459130229967745,1.3909476398295249,38.72883960130936,34.90158290107623,34.492872769916154,29.904771977012267,8.0,6.0,6.0,6
5,13,47,1.2055736343901318,1.318624028182744,41.476119447514165,38.94625860477715,37.776449592795906,34.19591571012883,7.0,6.0,6.0,10
5,13,48,1.1514042120753423,1.242306517898681,40.85392582863824,38.63611775582183,37.20975564472371,33.92360327989598,7.0,6.0,6.0,10
5,13,49,1.2178496047688872,1.3240457161998815,37.37549785363404,34.76005105145502,33.28755277589281,29.77316872731162,7.0,6.0,7.0,10
5,13,50,1.1699090704721005,1.271976748951574,40.9783078795638,38.4010520869361,37.32304281670672,33.71720897945409,7.0,6.0,6.0,10
