Number of Nodes,Degree,Seed,Lower Bound,Lower Bound (normalized),Generic Upper Bound,Generic Upper Bound (normalized),Main Thm Upper Bound,Main Thm Upper Bound (normalized),Greedy Upper Bound,Cotengra Upper Bound,HyperOpt Upper Bound,Largest HSC Rank
16,3,12,1.7249734456827253,1.7249734456827255,23.452853863309837,23.45285386330973,20.429634419992553,19.45243217568789,4.0,4.0,4.0,6
16,3,13,2.24694257090226,2.2469425709022612,22.39552585575328,22.39552585575335,18.19636475779954,17.263217847143203,8.0,6.0,6.0,4
16,3,14,3.019557338810678,3.0195573388106767,22.85280201542378,22.85280201542378,19.90693300562306,18.954732921647068,5.0,5.0,5.0,6
16,3,15,1.21575312461687,1.2157531246168702,21.48761378197027,21.487613781970225,21.48761378197027,20.5922965410548,7.0,7.0,7.0,5
16,3,16,3.028824345224124,3.028824345224123,22.861943849803353,22.86194384980336,19.91489640041464,18.96231540667284,7.0,6.0,6.0,6
16,3,17,2.4668268856294713,2.466826885629473,22.941021297291375,22.941021297291382,21.148754008440488,20.192878121053354,5.0,5.0,5.0,5
16,3,18,1.7892478607704578,1.789247860770457,21.92423734128364,21.92423734128369,21.153463372254137,20.239953483034032,8.0,8.0,7.0,4
16,3,19,3.0815363422748465,3.0815363422748474,23.130469100067884,23.130469100067856,20.148807067637257,19.185037521801075,5.0,5.0,5.0,6
18,3,0,1.8661906388737903,1.8661906388737883,25.55926021648133,25.559260216481317,20.58940406327663,19.64276479599953,7.0,7.0,6.0,5
18,3,1,2.654966878469911,2.65496687846991,25.935466739413634,25.935466739413645,24.49460747611288,23.53403463391238,5.0,6.0,5.0,5
18,3,2,2.104547592137062,2.104547592137062,25.01858550527428,25.01858550527422,21.466564106377316,20.539949828404144,7.0,8.0,7.0,7
18,3,3,1.6304955558096899,1.63049555580969,25.803061415199025,25.803061415199114,20.785799473354775,19.830130532051168,6.0,7.0,6.0,5
18,3,4,1.756722589078674,1.756722589078674,24.483813814854127,24.48381381485412,22.141226690593395,21.234418771524712,8.0,8.0,7.0,5
18,3,5,1.9011465515134538,1.9011465515134525,25.770308369286834,25.770308369286813,22.111560884758454,21.157105019229295,7.0,7.0,6.0,6
18,3,6,1.5515423639585195,1.5515423639585175,24.072745908046834,24.07274590804689,21.769489355116427,20.877906173336964,8.0,7.0,7.0,5
18,3,7,0.8844006500682517,0.884400650068251,24.689926442059928,24.689926442059928,21.1845665151008,20.270124795024508,6.0,5.0,5.0,5
18,3,8,2.5053345424034847,2.5053345424034843,24.745067910840145,24.74506791084017,19.933526928176786,19.017042931479022,9.0,8.0,8.0,6
18,3,9,2.7475869180942785,2.747586918094278,25.031275975415735,25.031275975415653,20.164083424640452,19.23699912925462,9.0,8.0,8.0,6
18,3,10,2.463326753781309,2.4633267537813093,25.330383531538814,25.33038353153883,23.92314000200888,22.984977648988934,7.0,6.0,6.0,6
18,3,11,1.1156546631831437,1.1156546631831428,24.79774921308485,24.797749213084884,23.42009647902458,22.50166132298443,7.0,6.0,6.0,5
18,3,12,1.7734161587815442,1.7734161587815416,26.056800362960225,26.056800362960107,22.357378089206613,21.392311409096877,5.0,5.0,5.0,5
18,3,13,2.1713781984119866,2.1713781984119853,25.48792684670183,25.487926846701875,21.86927056599725,20.9252732753787,7.0,6.0,6.0,6
18,3,14,1.4394461327896557,1.439446132789655,25.613792425293322,25.61379242529327,20.633332787041844,19.684673808327233,7.0,7.0,7.0,5
18,3,15,3.0453448454946592,3.0453448454946606,25.929023758839943,25.929023758839904,20.88726913906551,19.92693492577511,7.0,6.0,6.0,5
18,3,16,2.995751417489661,2.995751417489658,25.55162223317821,25.5516222331782,20.58325124339356,19.63689486438695,7.0,6.0,6.0,6
18,3,17,1.72773881494369,1.7277388149436907,26.498294810939097,26.49829481093908,23.962964134583814,22.98154580825272,4.0,4.0,4.0,6
18,3,18,2.2584155759565196,2.2584155759565183,25.601613456537393,25.6016134565374,21.966816484312947,21.018608578515273,7.0,7.0,7.0,5
18,3,19,1.4220376815714202,1.4220376815714206,25.41519370249299,25.415193702493056,25.572077614236775,24.630774143774136,6.0,6.0,6.0,6
20,3,0,1.0434254054372256,1.0434254054372245,28.352827712157016,28.35282771215712,24.029021486053068,23.083927228981256,6.0,6.0,6.0,6
20,3,1,1.484733967369746,1.484733967369747,27.771232351505887,27.771232351505883,23.53611941790124,22.610411672851043,7.0,7.0,7.0,4
20,3,2,0.9969407999372975,0.9969407999372958,27.94506856682789,27.945068566827764,26.82726582415477,25.89576353859373,6.0,6.0,6.0,5
20,3,3,2.003558332571063,2.0035583325710618,27.747322179088954,27.74732217908897,24.69511673938917,23.77020600008622,8.0,8.0,8.0,6
20,3,4,2.416660719298714,2.416660719298715,28.143034723761247,28.14303472376118,23.85122192838766,22.91312077092889,8.0,8.0,8.0,6
20,3,5,2.0175884672339617,2.0175884672339626,28.382876988879268,28.38287698887933,24.05448824807518,23.108392348445925,7.0,7.0,7.0,7
20,3,6,2.245217455122239,2.2452174551222384,28.564020959607088,28.564020959607024,25.42197865405031,24.469844622063352,6.0,6.0,6.0,6
20,3,7,3.2363230572392645,3.2363230572392614,28.50844887653593,28.508448876535965,26.44158633298708,25.491304703769245,8.0,8.0,8.0,7
20,3,8,1.7366122452301134,1.7366122452301136,28.08390870784796,28.083908707848,24.994678749984686,24.05854845972312,8.0,8.0,8.0,5
20,3,9,0.8796499625985403,0.87964996259854,29.025416826154895,29.02541682615486,25.83262097527786,24.865107081072665,6.0,5.0,5.0,5
20,3,10,1.9013965557816288,1.9013965557816284,28.472469504883886,28.472469504883914,22.77797560390711,21.828893287077673,8.0,8.0,8.0,7
20,3,11,2.7428535411719746,2.7428535411719746,28.251288785829004,28.251288785828958,23.942967245990083,23.001257619795744,9.0,8.0,8.0,6
20,3,12,1.3374003084550579,1.3374003084550563,28.55883761599641,28.558837615996428,24.20361487955696,23.251653625690427,6.0,6.0,6.0,5
20,3,13,2.365566450365097,2.3655664503650966,29.078652037764535,29.07865203776454,25.880000313610438,24.910711912351626,6.0,5.0,5.0,5
20,3,14,2.4470477417163243,2.447047741716327,28.707062685829396,28.70706268582934,24.32923562624041,23.372333536712723,7.0,7.0,6.0,6
20,3,15,1.8607731007345154,1.860773100734517,28.395582589301682,28.395582589301785,22.716466071441346,21.769946651798037,6.0,7.0,6.0,5
20,3,16,1.8145080689934967,1.8145080689934951,28.14595826295694,28.14595826295688,22.51676661036555,21.578568001600278,8.0,8.0,8.0,6
20,3,17,2.146144713477493,2.146144713477492,28.743056583749343,28.743056583749404,22.994445266999474,22.036343380874545,7.0,6.0,7.0,5
20,3,18,1.0359690449941126,1.0359690449941137,27.811673787121308,27.811673787121173,26.69920683563646,25.772151042732286,8.0,7.0,7.0,5
20,3,19,2.243033099531906,2.2430330995319068,27.573460840186883,27.5734608401869,23.368508062058382,22.449392700718835,9.0,9.0,8.0,6
